Low Rec,Ha: Breath of Life,Was not expecting a buffet... Prefer plated meal,
Low Rec,"Ushers need to do a better job of making sure people are sitting in their assigned seats. Either by leading people to their seats or taking active notice of when people are having trouble. An entire family of 5 sat down in the row in front of us, and when another family came to claim their seats,
Low Rec,,
Low Rec,,The villages and the Breath of Life show.,
Low Rec,Beath of Life,More shade,
Low Rec,Ha show,Modernize luau. Don't charge people to park.,
Low Rec,,
Low Rec,discovering new cultures,More shades,
Low Rec,,
Low Rec,"It was a fun, safe,
Low Rec,The Ha Breath of Life show and the Samoa Village stage show.,Shade. It was 80+ on the day we visited making it hard to enjoy everything the PCC had to offer.,
Low Rec,Village shows esp Fiji!,
Low Rec,Our guide was great.,Seating at the breath of life. I paid for a front row seat but could not get the wheel chair down there. Also the seats are way to small. I couldn't fit in the seat and I'm not really that big. That was a very big disappointed moment for me.,
Low Rec,Learned different cultures.,Better food flavors and selections.,
Low Rec,,
Low Rec,,Learning about all the cultures,
Low Rec,Travel with family,Facilities to help travel with babies and elder people,
Low Rec,More options for vegetarians,
Low Rec, I felt further frustrated by the continued claim that PCC has the best Luau.  Basically, none of what was said about the Luau was true.  Please work on your quality control.",
Low Rec,Ha breath of life show,Tour - we could have skipped the billage shows for other activities in the villages and interacted with the people more,
Low Rec,,"We bought just the general admission tickets and were told we could take an early bus back (as we had our 18 mo grand daughter with us) but there was no bus for us. People at the ticket counter were lost on how to help us leave at 6:30 so the only thing they did was give us free tickets to the evening show. So we saw the show (fantastic) but had to keep the little one way past her evening time. We aren’t complaining but when we are told there is an early bus,
Low Rec,,Watching the dancing! :),
Low Rec,The Ha show,Better access to water and shade,
Low Rec,the night show was very well done.,the price,
Low Rec,,"The breath of life was awesome! Also the Samoa village was very funny,
Low Rec,people very nice. good experience.,making sure people know we need more time to see all,
Low Rec,Samoa village,I didn't particularly like the division in access and services because of ticket purchased. I understand it. Specifically in two areas. The roped off seating for the Canoe show and seating at the luau buffet.,
Low Rec,,The store was hard to understand.  How does all the different island cultures tie together?  Are they traveling from island to island?,
Low Rec,dinner is wonderful,All day activities are a little overwhelming and redundant. Hopefully will allow more choices/prices for different combinations of activities,
Low Rec,The show was wonderful!,The food was not very good.,
